,content
17,"Tak kira tiktok'ku sendiri yang sering error' ternyata temen² jg banyak yang ngalamin, tiktok gak bisa disa , cuma terlihat logo tiktok saja, sudah di update tapi tetap saja sama, harus di download ulang, dan sudah berkali² terjadi,,tolong di perhatikan dan di perbaiki sistemnya, sebagai konten kreator hal ini membuat sangat tidak nyaman 🙏"
18,"Tiktok makin sini main makin jelek aja, tiktok saya bug terus gak bisa masuk. Udah bberapa kali di coba di uninstal dulu ttep aja gitu lagi gitu lagi.. Padahal ruang penyimpanan hp saya masih banyak, jaringan stabil, tapi tetep gitu lagi gitu lagi.. Kenapa sih sosmed sekarang ini makin gak jelas aja. Tolong lah diperbaiki lagi, mentang mentang udah gak ada tiktok shop tiktok ny malah bug terus, skalian aja hilangkan apk tiktok nya, meresahkan ajaa."
19,Kenapa setelah ada update terbaru . Tiktok ga bisa dibuka . Lalu ga ada layar belakang tiktok. Kalaupun ga ada perbaikan suatu saat nanti Tiktok akan dapat rating 1 . Kalau ga ada perubahan Kalau ga ada perubahan pasti Rating penggunaan tiktok pasti Terjun drastis yang awalnya top 8 akan menjadi top 30. Orang² akan teralihkan dengan platfrom lain kalau ga Niat ada perubahan
20,"Perlu diakui aplikasi tiktok sangat bagus namun tak lepas dari itu aplikasi ini juga memiliki beberapa kekurangan yang perlu dibenahi guna memberikan kepuasan bagi para pengguna nya, seperti masih diperlukan nya penambahan menu seperti 360p, 380p, 1300p hingga 2000p untuk memudahkan kita menonton video saat jaringan lagi kurang stabil ya, selebihnya aplikasi ini sudah sangat sempurna dan nyaman banget ketika digunakan menonton video ya, tolong ditingkatkan ya."
21,Keluhannya: aplikasi tidak bisa berjalan seperti biasa untuk pengguna android ram 3. Saat dibuka hanya terdapat logo tik tok dan bersamaan dengan lag yang cukup parah saat keluar dari aplikasi sehingga perlu di restart berulangkali. Perilaku aplikasi seperti virus yang membuat pengguna merasa takut. Jadi tolong di perbaiki segera agar pengguna lebih nyaman dan membuat aplikasi tik tok kembali ramai. Saya tahu CEO/pegawai lainnya tik tok pasti bisa.l mengatasi ini. TERIMA KASIH
22,"Bila sudah menggunakan aplikasi tiktok maka kita bisa sangat betah menonton video nya, simpel dan sangat nyaman banget ketika digunakan ya. Menurut aku aplikasi ini sudah sangat bagus dan hanya membutuhkan beberapa tambahan fitur-fitur saja seperti 360p, 1200p yang mana sangat lah membantu memudahkan kita menonton video saat jaringan lagi kurang stabil, itu saja masukan saya biar aplikasi nya bisa semakin mantap dan berkembang dengan baik."
23,"Mulai 2 minggu ini aplikasi tik tok eror. Kadang bisa terbuka kadang tidak. Ketika tidak bisa terbuka hanya muncul logo tik tok saja, Jadi yg sy lakukan hapus dowload hapus download hapus download aplikasinya,, seperti itu terus yg saya lakukan supaya bisa membuka tik tok, kalo tidak dihapus dan di dowload lagi tidak bisa terbuka aplikasinya. Tolong segera di perbaiki seperti dulu."
24,Tolong sediakan fitur Dark Mode untuk semua merk HP yang menggunakan sistem Android (paling nggak dari Android 10) baik dari HP yang Entry Level sampai High End. Karena saya sangat kecewa dengan pihak TikTok yang tidak menyediakan fitur Dark Mode yang begitu simple dan berguna bagi pengguna TikTok ketika sedang menggunakan aplikasi di tempat yang gelap tanpa cahaya.
25,"Tiktok tidak bisa diakses, cuma booting dan crash/force close. Lalu perangkat mati. Setelah update ke V. 31.4.3 penyimpanan melonjak drastis dari 1,7GB menjadi 2,18 GB. Perangkat ini Samsung Galaxy Note 9, Android 10, one UI 2.5. please follow up. Terimakasih"
26,"Tiktok saya baru diperbarui. Bukannya malah bagus, tpi tambah jelek. Untuk buka tiktok ngelag, trus aplikasi lainnya juga ikut ngelag, HP juga ngelag dan panas. Aplikasinya seperti ada virusnya yang dapat menjalar ke aplikasi lain dan peforma hp. Setelah diperbarui, draf tiktok saya malah kehapus semua sama tiktok. Mohon diperbaiki."
27,"Kenapa video yang fyp selalu berulang ulang, dan ga hanya 1 video atau 2 video saja, tapi hampir semua video yang pernah fyp, bisa fyp lagi. Tidak hanya sekali tapi hingga berkali-kali bahkan lebih dari 5. Akhir2 ini saya tidak bisa merasakan enjoy saat menggunakan tiktok. Sudah seminggu tiktok saya begini, padahal ruang penyimpanan masih sangat banyak, dan aplikasi dalam versi terbaru"
28,"Semakin di perbaharui semakin nga jelas,lemotnya minta ampun,ujung2nya di hapus download lagi,di buka 2 hari nga bisa lagi di buka,cuman layar hitam bertuliskan tiktok,itu2 aja terus lama2 bosan jadinya, RAM hp selalu bermasalah penyimpanan data selalu full padahal masih banyak memory internal nya RAM nya 6, komitmen lah tiktok kalau mau di sukai orang,"
29,"Kemampuan aplikasi tiktok dalam hal memberikan hiburan total dalam memuaskan para pengguna nya sangat mantap banget, dimana aplikasi ini cukup pleksibel dan berdampak positif ya, pengalaman saya ketika menggunakan aplikasi ini sangat memuaskan. Aplikasi ini nyaris tanpa bug sama sekali saat digunakan dan menjadi kan aplikasi ini sebagai pilihan utama buat menonton video pendek ya kawan. Aplikasi nya juga sudah terbukti membayar."
30,"Tiktok tidak bisa di buka,hanya terlihat logonya saja.Aplikasinya sudah di update tapi masih sering error. Harus di download ulang,tapi sudah sering terjadi beberapa kali. Perhatikan konten kreatornya tolong di perbaiki sistemnya."
31,Setelah update terbaru malah aneh gak bisa dibuka pas dibuka lama trus ke sistem operasi HP jadi lag dan crash aneh kalau masalah ram dan prosesor gak mungkin karna ram 4 GB prosesor juga Snapdragon yg biasa buat game... masa buka tik tok jadi tiba2 lag... kayak berat banget aplikasi nya...
32,"Tiktok te update otomatis, setelah itu pas mau di buka apk nya gabisa kebuka, udh di pencet berkali kali. Lambat bgt kebuka nya. Sampai sekarang pun saya mau buka apk nya ga bisa terbuka sama sekali. Kalo bisa kembalikan ke versi lama aja. Karena versi baru nya masih kurang kualitasnya."
33,"Aplikasi nya udah baguuss, bangettt. Seruu. Tapi tolong kok akhir akhir ini sering banget gak bisa dibuka, cuma ada logo nya doang.. padahal jaringan bagus, handphone nya jarang ngeleg. Jad harus di hapus download lagii. Tolong saya sudah berulang ulang seperti itu sampai 6 kali."
34,"Aplikasi sangat menghibur dan ada juga manfaatnya, hanya saja belakangan ini aplikasinya tidak bisa di buka , padahal Ram hp masih mumpuni , dan ternyata hal tersebut (tiktok tidak bisa di buka) banyak yang mengalami , silahkan di perbaiki agar aplikasi tiktok tetap bisa di minati semua orang , terimakasih."
35,"Saat ini tik tok di hp q sering lemot, macet, bahkan tidak bisa di buka, bahkan bikin hp ngeleg, eror sampe g bisa d buka sama sekali. Klo mau buka tiktok lancar harus di uninstal dulu,kemudian di instal lagi baru bisa. Ini sekarang makin aneh lagi. Sudah di dwonload tp aplikasi'y g muncul d layar🤦. Klo mau buka tik tok harus lewat play store🤦🏾‍♀️"
36,Menurut saya aplikasi ini sangat berguna untuk kita yang suka menonton short karna bisa mengatasi kegabutan tapi yang saya tidak suka waktu kita ngescrol sering lewat iklan dan itu sangat mengganggu mungkin sampai situ aja yang mau saya sampaikan tolong iklan nya dikurangi yah baik terimakasih
37,"Keluhan: aplikasi yg tidak berjalan seperti biasa nya, di mana di saat sya membuka aplikasi tik tok selalu tidak menampil kan layar hanya menampil kan logo tik tok dn saat kluar dri aplikasi tersebut sangat llt smpe harus mematikan daya hp berulang"""
38,"Dengarkan saya. Akhir akhir ini aplikasi tiktok sepertinya membuat masalah pada RAM. Gejalanya, ada yang langsung, ada juga yang setelah beberapa hari pemakaian tiba tiba aplikasi tiktok tidak bisa di buka. berhenti pada logo Tiktok, dan sesekali setelah itu langsung menutup dengan sendirinya. Yang lebih parahnya, beberapa perangkat mengalami LAGGing parah. Layar menyala mati menyala mati dan selalu kembali ke layar utama atau layar kunci. Dan saya cek RAM tersisa 100mb."
39,"Jaringan saya bagus, stabil. Tapi kenapa error dan lag terus ya? Saya udah beberapa kali mungkin sekitar 6 kali saya unistall Tiktok buat bela belain ini app. Ini mmg bug? Tolong perbaiki lah bug ini dan membuat tiktok menjadi aplikasi aman & nyaman diberbagai ponsel"
40,"Maaf untuk ulasan yang sy tulis ,ini secara fakta dan nyata.selama bulan ini sy sudah meng uninstal dan instal lebih dari 8 -10 kali. Semakim kesini aplikasi nya semakin banyak gangguan.sehingganya aplikasi sering mengalami gangguang atau nge bug.swhingga nya setelah di instal ualang,1-2 hari aman.besok nya langsung tidak bisa dibuka kembali,hanya logo tiktok nya saja. Mohon pihak tiktok agar mengupayakan perbaikan untuk jauh lebih baik kembali. Bukan jauh lebih buruk."
41,"akhir akhir ini Tik tok jd suka banget nge bug, setiap mau masuk tiktok, cuma muncul logo doang ga masuk masuk ke video, lama banget loading nya, tolong d perbaiki lagi, sayang bgt tiktok skrng jd gini, jd mau ga mau harus download ulang lagi, jd males"
42,"Aplikasi tiktok sekarang malah seperti virus,kalo mau buka aplikasinya pasti hp langsung lag dan itupun ngaruh ke aplikasi yg lain sekalipun masuk tapi nggak bisa di scroll dan kalo mau keluar aplikasinya malah lag banget,harus mulai ulang hp dulu baru bisa agak Lain nih emang aplikasi,semakin update semakain nggak jelas.ANEHHH!!!"
43,"Setelah di update tadi pagi kenapa ini malah mau pilih baju di tiktok ngga ada keranjang kuning nya semua. Apa sekarang tiktok sudah ngga bisa buat pesenan, baju dll?? Terus kenapa ada efek baru di download ngga bisa, muncul nya tulisan efek tidak ada dikawasan anda ?? Gimana ini sudah di update malah tambah buruk !! Perhatikan kualitas nya"
44,"Aplikasi paling modern dan paling terpopuler sehingga mampu memberikan kepuasan dan kenyamanan saat menonton video, simpel dan sangat sederhana ketika digunakan. Untuk proses penarikan nya sendiri sangat lah cepat sehingga bagi para penggunanya tak perlu ragu dengan aplikasi ini karena sangat bagus dan penuh dengan karya terbaik anak bangsa dalam pemutar video, sejauh ini menggunakan aplikasi ini nyaris tanpa bug sama sekali ya kawan."
45,TikTok ini gimana kok setelah di-update malah tambah gak karuan... Aplikasinya sering gak bisa dibuka. Sampai² harus uinstal dan install ulang lagi..dan lagi... Terus juga ketika mau login pakai nomor nungguin OTP lama banget...... Sampai diulang-ulang. Alhasil muncul tulisan frekuensi kunjungan terlalu sering. Udah deh ribet. Masalahnya sulit teratasi.
46,"Tolong selesaiin bug untuk pengguna ram 3 untuk buka tiktok saja nunggu lama dan ketika udah muncul logo tiktok langsung tidak ada respon, ketika keluar dari apk nya malah tidak ada riwayat penggunaan. Tolong untuk developer dibenerin bug nya, sekiranya kita pengguna ram 3 bisa leluasa mainin aplikasi ini. Sekian Terimakasih"
47,"Tolong diperbaiki dan diperhatikan!! Akhir-akhir ini Tik Tok sering di update, juga kadang eror+lagg nggak bisa kebuka Cuman muncul logonya, kadang tidak menanggapi.hal tersebut mempengaruhi apk lain jadi ngelag,ngebug patah² sudah banyak yang mengelu jadi buat management tiktok tolong di perbaiki lagii di tindak lanjuti."
48,"Oke, saat ini tidak ada kendala dlm penggunaan yg sesuai dengan perangkat saya dan adapun perangkat saya perlu di upgrade..xixixi wkwkwk Perangkat full / memory tinggal sedikit terpaksa hapus data tapi tetap masih bisa dibuka seperti baru pertamakali didownload.., Dan baru coba TikTok Shop nya oke juga ad free/diskon ongkir pengiriman cepat..MANTAAAP.....👍"
49,Aplikasi ini bagus sebenarnya bisa mencari inspirasi inspirasi kreatif namun sering kali terjadi bug yang sangat menggangu yaitu bug dimana saat membuka aplikasi tik tok ngelag ok wajar kalau internet nya namun ini merambat ke seluruh aplikasi yang ada dihp hingga hp harus di restart agar bisa berjalan normal kembali saya sudah mengalami bug ini 4x tolong diperbaiki lagi yaaa😗
50,"Setelah apdate aplikasi nya sering eror, cuman keluar logo, ngelag, patah untuk HP android yang ram 3, badahal HP nya lancar lancar aja buka aplikasi yang lain. Jadi tidak nyaman membuka tiktok kalau gini Tolong lah perbaiki bug bug ini"
51,"Dear tiktok, saya sebagai pengguna tiktok sangat terbantu dalam memahami dunia konten digital yang sedang tren dan hangat diperbincangkan, namun untuk kualitas dari performa aplikasinya kadang tidak sesuai dengan yang diharapkan,padahal sudah diupdate 1 minggu lalu tetapi ketika masuk livestreaming orang sering ngebug dan terkeluar sendiri dari aplikasinya. Saya harap untuk bisa dioptimalkan lagi kedepannya. Terimakasih."
52,"Setelah update beberapa waktu yang lalu, TikTok semakin berat untuk di jalankan. Hp saya RAM tersisan 3.6gb, belum juga masuk ke aplikasi TikTok, TikTok ini sudah menggunakan 3gb lebih RAM saya. Itupun aplikasinya belum terbuka/bisa saya gunakan. Jadi tolong diperbaiki, sekiranya ada sesuatu yang tidak perlu/tidak penting"" banget ada di TikTok, sebiaknya dihilangkan saja."
53,"Kemarin sy kasih bintang 5,tp sy ganti bintang 1.Krn Dari Tgl 16 Agustus, Tik Tok Sering tiba² keluar sendiri & kadang gk bs di buka dan hp tiba² jadi eror,setelah sy cek di Playsore ternyata ada update.tapi setelah di update masih tetep eror.jadi harus install ulang & alhasil vidio di draft harus hilang😭,& itu gak cuma sekali. setiap install ulang harus 2hr sekali.. karena eror nya terulang lagi setiap 2hr sekali.sering keluar sendiri,MOHON DIPERBAIKI."
54,"Sejak beberapa bulan lalu, ketika di-update pasti membuat sistem UI error. Sebenarnya Saya tidak tahu pasti penyebabnya dari TikTok atau memang HP Saya. Tapi pasti ketika Saya update TikTok sistem UI Saya error."
55,Sering macet pas buka aplikasinya dan tidak bisa masuk lagi ke aplikasinya. Hrus uninstal dan download ulang bru kebuka. Nnti tdk lama kemudian kembali tdk bisa kebuka. Capekkk udh ada 10x uninstal dan download hanya untuk buka tiktok. Lebih parahnya tiba2 HP nge frame parah dan macet2 bikin HP lemot buka apapun itu. Tolong diperbaiki.
56,"sebelumnya saya pake tiktok lite, kalau mau tampilan bersih tinggal zoom in aja pake 2 jari.. skrg pake tiktok malah harus tekan lama terus baru klik tampilan bersih. menurut saya lebih enak yg lngsung zoom in 2 jari untuk menghilangkan teks. terus masalah translate, kenapa gk ada 'terjemahkan' di bawah captionnya lgsung sih? rempong bgt mau nranslate doang🤧 mohon diperbaiki. terima kasih"
57,"Tiktok lebih enak sebelum update, sesudah update tiktok jadi sering ngelag, tiba-tiba keluar sendiri, hanya muncul logonya saja, bahkan saya tidak bisa membuka aplikasi tiktok sehingga harus dihapus serta di download ulang dan itu sudah saya lakukan sekitar 5 kali, jadi dimohon untuk memperbaiki sistemnya agar para pengguna merasa nyaman."
58,Makin kesini makin jelek tiktok. Terlalu banyak iklan. Nonton baru beberapa detik udah ada muncul iklan iklan gak jelas. Pokok nya setiap nonton pasti ada iklan nya. Makin parah ini system tiktok. Buka tiktok cuma gambar logo nya doang. Gue kira hp gue yang ngeblank tau tau nya dari tiktok nya.
59,"Aplikasi tik tok sekarang makin berat banget, dan suka sering crash, keluar sendiri, dan yang paling aku gak suka itu CRASHNYA ITU LHO, terus pada saat buka tiktok itu vidionya patah patah, tapi suara vidionya lancar banget, terus setelah itu langsung keluar sendiri, sumpah, saya lebih suka tik tok zaman dulu."
60,"Makin kesini kok makin error gini ya apk nya, setelah keluar dari apk nya trus mau masuk lagi malah nge lag, cuman muncul logo tiktok nya saja. Harus di uninstal dulu lalu download lagi terus login ulang baru bisa digunakan 😪 udah 3x kek gitu teruss 😪😪😪"
61,"Setelah kasus tiktok shop di hapus dan beberapa kali update,,sekarang tiktok semakin GK jelas pas mau buka tiktok baru keluar logo nya Gk bisa masuk sama sekali malahan hp jdi ngebug,,mohon untuk management tiktok di perbaiki lagi aplikasi nya agar lebih baik lagi dan tidak menurunkan performa nya.🙏🙏"
62,"Ini kenapa ya udh sebulan lebih tiktok saya ngalamin error mulu. Awalnya pas mau buka tiktok loading mulu, akhirnya saya keluar, tapi hpnya ikut ngelag/ngehang. Akhirnya saya restart hp nya, terus saya uninstall. Abis itu saya install lagi, baru bisa buka tiktok. Tapi gak lama kemudian (1-2 hari) pasti error lagi dan hp ngelag/ngehang lagi, begitu terus sampe 1 bulan lebih dan harus uninstall-install mulu. Mohon diperbaiki"
63,"Semakin ga jelas, ketika apknya lama ga dibuka apknya ngeleg parah, terus harus di uninstal terus di instal lagi baru bisa dibuka. Minta tolong untuk diperbaiki lagi, masalah ini bukan sekali duakali, tapi ini sudah 10 hari dengan masalah yang sama. Semakin tidak nyaman menggunakan apk ini."
64,"Diantara beberapa aplikasi pemutar video yang pernah ada, aplikasi inilah yang paling bagus dan sangat sempurna banget, khusus konten kontennya juga sangat lah menghibur banget ya, aku sudah lama menggunakan aplikasi ini dan nyaris tanpa bug sama sekali ya sehingga para pengguna dari aplikasi tiktok bisa merasakan kepuasan saat menggunakan aplikasi nya, aplikasi ini memuaskan banget ya, aplikasi ini hanya butuh bebebnya pembenahan saja sehingga membuat aplikasi nya semakin sempurna."
65,"haloo tiktok, tolong di perbaiki lagi. Keluhannya yaitu kalau ram 3 enggak bisa login tiktoknya lagi, hanya gambar logo tiktok awalnya saja. Fitur yang lainnya juga sudah bagus, hanya itu saja. Saya harus menginstal ulang aplikasi tiktok untuk bisa main tiktok lagi, trims."
66,"Kenapa tiktok sering ngebug nggak bisa terbuka sama sekali,padahal udah ditekan berkali kali tapi tetep nggak bisa dibuka. Dan juga sering banget nge freeze dan patah patah padahal jaringannya kenceng.tolong ini segera diperbaiki ya"
67,"baru baru ini saya mengalami tik tok yang tidak bisa di buka, contoh : saya meng ngeklik aplikasi tiktok, yang muncul hanya logo, dan di tunggu beberapa menit juga tidak ada vidio, pdhl saya ingin melihat bapa bapa "" i have no enemies yang memberi motivasi. Saudara ku tolong di perbaiki lagi"
68,"mungkin saya kurang suka dengan tiktok sekarang, karena tiktok versi dulu biasanya menampilkan ""terjemahkan"" untuk caption dan video yang di muat tapi versi tiktok sekarang terjemahan jadi lebih langsung dan dari video tidak bisa di terjemahkan jadi agak sedikit susah untuk memahami bahasa luar dari muatan video daripada caption, mohon untuk mengembalikan fitur penerjemah yang dulu"
69,"Di update malah ngelag anjayy,, gua kira hp gua ngelag. Padahal penyimpanan masih banyak. Gila sih kaget aja barusan di update langsung ngefreze hp ku kek hp kentang, padahal Ram 16 kok seperti berat sekali. Dan TikTok setelah di update malah ga bisa di buka. Gimana ini min. Aduhh...."
70,"Setelah update tiktok ga seenak dulu. Kadang kalo keluar sebentar dari aplikasi pas dibuka tidak bisa lagi, sudah di refresh berulang kalipun tidak bisa dibuka juga. Kadang saat aplikasi dibuka hanya muncul logonya saja. Dan saat keluar dari aplikasi membuat hp jadi lag sampai merambat ke aplikasi lain seperti virus sehingga. Penggunaannya pun makin boros hingga hp lebih cepat panas dan baterai yang terkuras pun banyak"
71,"Aplikasi Tik tok akhir-akhir ini banyak kali masalah nya, tolong di perbaiki agar mudah di gunakan Tampa harus update berulangkali. Selalu aja berulah, udah di update beberapa kali juga, hapus download hapus download, maksud nya apa coba"
72,Ini udah ke 3 kali nya hapus dan dowload ulang lagi dalam jangka 2 bulan.. Kok aneh yaa suka ngebug trus gak bisa d buka lagi jika pun bisa di buka apk ny itu cuman muncul logo tiktok nya aja kalo coba keluar setelah itu semua apk di HP saya juga pada ikut ngebug.. Tolong ya mohon di perbaiki
73,"Sebenernya apk nya bagus, banyak hal positif yang bisa aku tiru dan hal baru yg bisa aku coba tapi menurutku apk nya rumayan berat. Saat aku scrool tiktok kadang terjadi bug apalagi saat aku ingin post foto/video ngelag parah si. Mungkin untuk developer bisa diperbaiki lagi. Terimakasih 🙏🏻🙏🏻"
74,"kalo rating aplikasi bisa terserah kita,gw pasti rating -5 bintang. ini sumpah gajelas banget. pas buka aplikasinya kadang loading ampe ke hp hpnya dan gabisa dipencet apapun,terus ditinggalin lama baru bisa lagi.tapi mau buka aplikasinya tetep loading. terus lagi RAM yg kepake makin bertambah, biasanya setelah dibersihin semuanya paling ram yg kepake cuma 3GB,pas tiktok ngelag malah ampe 5GB cokkk. RAM HP gw udh berasa gede bgt 6GB,masa harus beli lagi HP yang RAMnya unlimited:(. @agxchprz"
75,"Saya mengalami masalah serius dengan aplikasi TikTok. Saat dibuka, hanya muncul logo TikTok dan tidak berfungsi. Ini juga menyebabkan ponsel saya menjadi lambat dan crash. Saya harus mengunduh ulang aplikasi, tetapi itu tidak memberikan solusi permanen. Masalah ini tampaknya terjadi pada banyak pengguna. Semoga pengembang segera memperbaiki masalah ini dalam pembaruan berikutnya."
76,Makin kesini makin ngaco. Banyak update bukan nya makin bagus.. malah makin lag. Kadang2 gak bsa masuk. Cuma muncul di tulisan tiktok. udah di hapus data tetep eror. Harus di uninnstal dlu trus instal ulang baru normal lg. Tolong di perbaiki
77,"banyak bug setelah di update, udah sering tiba tiba gabisa dibuka aplikasi tiktok nya hanya di layar hitam tiktok saja gabisa masuk liat video jadi harus di uninstall dulu baru di download lagi baru bisa dibuka,tolong di perbaiki!"
78,"Sebenarnya apk ini bagus di hp saya tapi..kenapa ya di hp kaka saya setelah di upgrade tdk bisa di buka atau hanya tampilan logonya saja yang terlihat, dan sudah banyak kali di coba tutorial di apk lain tapi tetap gak mau masuk apk nya, tolong di perhatikan dan di perbaiki lagi sistemnya🙏"
79,"ternyata banyak yg ngalamin hal tidak menyenangkan setelah update aplikasi tiktok. pengalaman aku setelah update adalah aplikasi makin berat, makin susah untuk di scroll ke bawah dan sering nge-freez. sangat boros batere yg menyebabkan hp sering kepanasan. dan yg paling parah, karena 2 hal itu hp aku nyala mati setiap detik. ku hapus tiktok baru deh ga nyala mati. padahal memori dan penyimpanan besar, batre yg tadi awet berkurang drastis.lagian updatean nya juga ga banyak perubahan. kek mana!?"
80,"Tiktok setelah update selalu error, kadang tiktok gak bisa di buka, jadi harus uninstal terus donwload lagi baru bisa, setiap hari selalu kayak gini. Tolong diperbaiki Dan itu semua ga ngaruh di tiktok doang, tiktok ngeleg aplikasi pun ikut ngeleg."
